"Sent Index","Mention Index/Total","Sentence","Mention","Mention Head","Label->Gov"
"30","0/1","As the mining city of Mezhdurechensk began to bury its dead Tuesday , Prime Minister Vladimir V. Putin flew to the site of the disaster in western Siberia , vowing to discover whether <a>XXXX</a> had contributed to one of the most lethal mine disasters here since the collapse of the Soviet Union .","","","nsubj -> contributed"
"32","0/1","The Conservatives warned that <a>XXXX</a> could lead to disaster .","it","it","nsubj -> lead"
"33","0/1","And the Labour Party could potentially use <a>XXXX</a> to cling to power for a little while longer .","","","nsubj -> cling"
"34","0/1","President Barack Obama promised Thursday to spend $ 80 billion over 10 years to maintain and modernize the nation 's nuclear arsenal , a commitment that could help win Republican support for his new arms control <a>XXXX</a> .","treaty with Russia","treaty","dobj -> control"
"35","0/1","A federal labor board has finalized a change in rules for union representation elections that will likely make it easier for airline employees to unionize and trigger <a>XXXX</a> at Delta Air Lines for its merger with Northwest Airlines .","","","dobj -> trigger"
"37","0/1","The Indian Premier League , <a>XXXX</a> turns staid cricket into something fast-paced and glamorous , just ended its third season with a new champion , the Chennai Super Kings , and a new scandal revolving around allegations of financial fraud .","a 20-team tournament here that","tournament","nsubj -> turns"
"38","0/1","The Afghan government suspended the operations of two church-based relief groups on Monday over suspicions that <a>XXXX</a> were involved in converting Afghans to Christianity , even though the evidence against them apparently consisted of nothing more than a listing in a telephone directory .","","","nsubjpass -> involved"
"39","0/1","<a>XXXX</a> said Sunday that they had arrested a Polish priest and charged him with sexually abusing a 16-year-old former altar boy .","The authorities in Rio de Janeiro","authorities","nsubj -> said"
"40","0/1","A Pakistani court on Monday ordered the government to restore access to Facebook , nearly two weeks after it blocked <a>XXXX</a> amid anger over a Facebook page that solicited images of the Prophet Muhammad .","","","dobj -> blocked"
"41","0/1","<a>XXXX</a> issued rules on Monday allowing young adults to remain covered by their parents ' health insurance policies up to age 26 .","The White House","House","nsubj -> issued"
"42","0/1","A battle over Thailand 's future is raging , but the one man who has been able to resolve <a>XXXX</a> has been notably silent : King Bhumibol Adulyadej , long a unifying father figure for his nation .","","","dobj -> resolve"
