"Doc/Sentence Index","Mention Index/Total","Sentence","Mention","Head","Labels","Turk General Labels","Turk Fine Labels","Predcitions"
"1","8/11","Record cover to illustrate the article about album Antligen pa vag -LRB- Ted Gardestad album -RRB- , the Ted Gardestad discography , and the relevant period in <a>XXXX</a> .","the history of Ted Gardestad","","[]","['event:2']","[['year', 2]]","['event:2']"
"0","1/9","Fair use <a>XXXX</a> : The Secret of the OozeI -LRB- Quentin X -RRB- have uploaded this image here .","rationale for Teenage Mutant Ninja Turtles II","","[]","NULL_GEN","NULL_FINE","[]"
"0","4/6","Album Cover of The Human League single/EP '' The Things <a>XXXX</a> Are Made Of '' released on 2008 by Hooj Choons Ltd","That Dreams","","[]","NULL_GEN","NULL_FINE","[]"
"1","6/9","The wrestlers pictured are : Two '' Stone Cold '' Steve Austins in the top left corner , with The Godfather in <a>XXXX</a> .","front of them","","[]","['location:2']","NULL_FINE","['location:2']"
"19","1/11","<a>XXXX</a> had reportedly said '' he saw nothing wrong with the use of ' Filipinos ' as a brand name , noting Austrians do not complain that small sausages are called ' Vienna sausages . '","Siazon","","[]","['person:5']","NULL_FINE","['person:5']"
"0","2/8","Filipovo is <a>XXXX</a> in the municipality of Topolovgrad , in Haskovo Province , in southern Bulgaria .","a village","","[]","NULL_GEN","NULL_FINE","[]"
"13","13/17","The consortium comprises eighteen institutions - among them the British Film Institute -LRB- BFI , London -RRB- , Narodni Filmovy Archiv -LRB- NFA , Prague -RRB- , the Cinematheque Royale de Belgique -LRB- <a>XXXX</a> -RRB- and the DEFA Foundation -LRB- Berlin -RRB- .","Brussels","","[]","NULL_GEN","NULL_FINE","[]"
"5","0/5","<a>XXXX</a> of British actor , broadcaster and songwriter Michael Flanders are scattered in the grounds .","The ashes","","[]","['person:2', 'object:2']","[['ash', 2]]","['person:2', 'object:2']"
"21","3/6","The 1959 film version of The 39 Steps showed the quad and <a>XXXX</a> Wood Hospital '' .","main building as '' St John 's","","[]","['object:2']","NULL_FINE","['object:2']"
"49","6/11","Renick , the brother of legendary pioneering news broadcaster Ralph Renick , had previously worked in <a>XXXX</a> as a cameraman and had been a Florida State Senator for one term .","the television business","","[]","['location:3']","NULL_FINE","['location:3']"
"2","9/10","Dan Cooper of allmusic called it '' a less fitting swan song for Twitty than his princely duet with Sam Moore on <a>XXXX</a> .","the Rhythm , Country and Blues album","","[]","['object:2']","[['album', 2]]","['object:2']"
"11","4/18","See Rize Province for <a>XXXX</a> , once part of the Roman Empire , and the Empire of Trebizond , brought into the Ottoman Empire in 1509 and briefly occupied by Russia at the end of the First World War .","the history the area","","[]","['place:2']","[['reference', 2]]","['place:2']"
"0","5/6","Fine Music Radio is a radio station that is based within the Artscape Theatre Centre in Cape Town , <a>XXXX</a> .","South Africa","","[]","['location:4']","NULL_FINE","['location:4']"
"54","6/19","Finlandia University is part of the NCAA Division III and also <a>XXXX</a> of the Northern Collegiate Hockey Association -LRB- NCHA -RRB- for women 's hockey , and Midwest Collegiate Hockey Association -LRB- MCHA -RRB- for men 's hockey .","part","","[]","NULL_GEN","NULL_FINE","[]"
"60","9/13","8-10 , which presents a guided tour through a museum in the Wellington Monument , which commemorates Finnegan 's fall , retold as <a>XXXX</a> versus the '' Lipoleums '' and '' Jinnies '' at Waterloo .","the battle of '' Willingdone ''","","[]","['group:2']","NULL_FINE","['group:2']"
"75","2/16","Khanty and Mansi peoples live in <a>XXXX</a> of Russia , while Komi-Permyaks live in Komi-Permyak Okrug , which formerly was an autonomous okrug of Russia , but today is a territory with special status within Perm Krai .","Khanty-Mansi Autonomous Okrug","","[]","['place:3', 'location:2']","[['city', 2]]","['place:3', 'location:2']"
"9","5/7","She was nominated for the same category in 1990 for Anna , in 2000 for AMC as <a>XXXX</a> , and , in 2002 , as Anna .","Alex","","[]","NULL_GEN","NULL_FINE","[]"
"1","1/5","It is found only in <a>XXXX</a> of the South Island of New Zealand .","the Fiordland region","","[]","['place:2']","[['town', 2], ['city', 2], ['location', 2]]","['place:2']"
"0","5/14","FireHollywood , originally named Patriotic Americans Boycotting Anti-American Hollywood -LRB- or PABAAH -RRB- was a U.S. nationalist-conservative organization that called for <a>XXXX</a> of Hollywood films made by film makers who have made statements deemed by the group to be '' unpatriotic , '' '' anti-American '' or treasonous .","the boycott","","[]","['event:2']","NULL_FINE","['event:2']"
"71","1/4","The Reagan administration cast aside <a>XXXX</a> , such as abortion , for most of his first 100 days and then he was shot .","social issues","","[]","NULL_GEN","[['policy', 2]]","[]"
"4","6/16","Baylor 's orders from the Department of <a>XXXX</a> , Colonel Earl Van Dorn , allowed him to advance into New Mexico in order to attack the Union forts along the Rio Grande if he thought the situation called for such measures .","Texas commander","","[]","NULL_GEN","NULL_FINE","[]"
"54","0/15","The July 1807 Treaties of <a>XXXX</a> ended war between Imperial Russia and the French Empire and began an alliance between the two empires which held power of much of the rest of Europe .","Tilsit","","[]","['place:2', 'event:2']","[['town', 2], ['city', 2], ['country', 3]]","['place:2', 'event:2']"
"3","17/18","It was compiled and edited by the spouses of two of the artists who appear in the documentary : Dan Collins -LRB- husband of Jamie Owens-Collins -RRB- engineered the music , and Steve Greisen -LRB- husband of Nelly Greisen -LRB- 2nd Chapter of Acts -RRB- -RRB- edited <a>XXXX</a> .","the video","","[]","NULL_GEN","[['year', 2]]","[]"
"19","2/15","As individuals , First Nations people are officially recognised by <a>XXXX</a> only if they are listed on the Indian Register and are thus entitled to benefits under the Indian Act .","the Government of Canada by the terms '' registered Indians '' or '' status Indians ''","","[]","NULL_GEN","[['government', 2]]","[]"
"40","7/9","When the Europeans arrived , natives of North America were semi-nomadic tribes of hunter-gatherers ; <a>XXXX</a> were sedentary and agricultural civilisations .","others","","[]","NULL_GEN","[['group', 2], ['civilization', 2]]","[]"
"54","2/7","The Hopewell tradition is the term used to describe <a>XXXX</a> of the Aboriginal culture that flourished along rivers in the Northeastern and Midwestern United States from 300 BCE to 500 CE .","common aspects","","[]","['event:2']","NULL_FINE","['event:2']"
"25","1/8","First Niagara has stated that <a>XXXX</a> does have some '' holes '' in the Pittsburgh metropolitan area , with PNC still retaining 110 National City branches in the area and is completely absent from Beaver & amp ; Lawrence County .","it","","[]","['organization:2']","NULL_FINE","['organization:2']"
"3","0/18","In 1996 , <a>XXXX</a> released the CD box set Hot Tuna in a Can which included a remastered version of this album , along with remasters of the albums Hot Tuna , Burgers , America 's Choice and Hoppkorv .","RCA","","[]","['person:2']","[['musician', 2]]","['person:2']"
"30","11/13","Two legions commanded by Appius Claudius Caudex disembarked at Messana , where the Mamertines had expelled the Carthaginian garrison commanded by Hanno -LRB- no relation to <a>XXXX</a> the Great -RRB- .","Hanno","","[]","['person:3']","NULL_FINE","['person:3']"
"2","5/9","It should not be confused with Nat Herreshoff 's larger sloops , the Annisquam Fish Class Marconi rigged <a>XXXX</a> , nor various motor yachts and surfboards of similar names .","catboats","","[]","['object:2']","[['boat', 3]]","['object:2']"
"2","8/12","It was constructed of limestone , granite , and marble , and was financed by the Fisher family with proceeds from <a>XXXX</a> to General Motors .","the sale of Fisher Body","","[]","NULL_GEN","[['business', 2]]","[]"
"74","3/13","The seaside scenes in the movie <a>XXXX</a> , starring Robin Williams and Glenn Close , were shot on Fishers Island on and about the grounds of the mansion originally built by Bethlehem Steel heir Robert Linderman .","The World According to Garp","","[]","['object:2']","[['movie', 2], ['film', 2]]","['object:2']"
"1","7/10","It is located within the larger Fish Farms Mounds Wildlife area , a state owned hunting area a few miles south of <a>XXXX</a> , just inland from the Upper Mississippi River in Allamakee County .","New Albin","","[]","['place:2', 'location:2']","[['town', 2], ['city', 3]]","['place:2', 'location:2']"
"72","9/10","One of the main aquaculture projects of Portugal is the Pescanova 's production centre in Mira , <a>XXXX</a> .","Centro region","","[]","NULL_GEN","NULL_FINE","[]"
"0","0/7","<a>XXXX</a> -LRB- 8552S15512W -RRB- is a 1,400 m high granite cliff on the north face of Mount Griffith , Hays Mountains , in the Queen Maud Mountains .","Fission Wall","","[]","['object:2', 'place:2']","[['mountain', 3]]","['object:2', 'place:2']"
"1","2/4","It lies approximately 5kmmi0 west of Gronowo Elblaskie , 12kmmi0on west of <a>XXXX</a> , and 89kmmi0on west of the regional capital Olsztyn .","Elblag","","[]","['location:2']","[['location', 2]]","['location:2']"
"2","11/14","He was the grandson of '' Light Horse Harry '' Lee , a nephew of Robert E. Lee and Samuel Cooper , and cousin of <a>XXXX</a> and W.H.F. '' Rooney '' Lee .","George Washington Custis Lee","","[]","['person:5']","NULL_FINE","['person:5']"
"0","1/10","<a>XXXX</a> or The Five Boroughs of the Danelaw were the five main towns of Danish Mercia -LRB- what is now the East Midlands -RRB- .","The Five Boroughs","","[]","['place:2']","NULL_FINE","['place:2']"
"3","0/14","<a>XXXX</a> pictures , on the obverse composer and violinist George Enescu , and on the reverse the Romanian Athenaeum , headquarters of the George Enescu Philharmonic Orchestra , a piano , and a line from his opera , Odipe .","It","","[]","['object:3']","[['album', 2]]","['object:3']"
"8","2/10","After one month trying to discover who is <a>XXXX</a> , he finally finds her in a theatre , during a performance of Giuseppe Verdi 's La traviata .","her","","[]","['person:4']","[['performer', 2]]","['person:4']"
"52","0/5","<a>XXXX</a> are the official symbols of Kappa Sigma comprising the fraternity badge .","The Star and Crescent","","[]","['object:2']","NULL_FINE","['object:2']"
"158","6/7","Lee Harvey Oswald was charged with the crime , but never made it to trial , as he was murdered two days after <a>XXXX</a> .","the event","","[]","['event:5']","[['murder', 2]]","['event:5']"
"57","4/15","After a brief career as a college football star , he donned <a>XXXX</a> with a lightning bolt and a stylized metal helmet with wings -LRB- based on images of the Greek deity Hermes -RRB- , and began to fight crime as the Flash .","a red shirt","","[]","['person:2']","[['suit', 2]]","['person:2']"
"24","6/9","Three of her works , The Hanging Tree , A Man Called Horse , <a>XXXX</a> Who Shot Liberty Valance , were made into movies .","The Man","","[]","['person:3']","NULL_FINE","['person:3']"
"2","4/10","He appeared with the Mexico national football team in 2001 under the wing of <a>XXXX</a> against Bulgaria of which was held in Morelia , Michoacan .","Enrique Meza in an exhibition match","","[]","['person:4']","[['football_player', 2]]","['person:4']"
"175","3/8","After they shower they leave the winery and go to <a>XXXX</a> where Bootz and New York prepare for dinner .","the Pechanga Resort and Casino","","[]","['place:3', 'location:2']","NULL_FINE","['place:3', 'location:2']"
"4","13/18","The Fleetwood Baronetcy , of Rossall Hall in the County of Lancaster , was created in the Baronetage of the United Kingdom in 1838 for Peter Hesketh-Fleetwood , of Rossall Hall , <a>XXXX</a> .","a politician and landowner who created the town of Fleetwood","","[]","['location:2']","NULL_FINE","['location:2']"
"43","5/16","The story takes various forms , many of which relate to Clovis ' conversion , and support <a>XXXX</a> of the anointed Kings of France that their authority came directly from God , without the mediation of either the Emperor or the Pope .","the claim","","[]","NULL_GEN","NULL_FINE","[]"
"64","3/12","The monarchs of <a>XXXX</a> -LRB- and later of Great Britain -RRB- continued to quarter the French arms until 1801 , when George III abandoned his formal claim to the French throne .","England","","[]","['location:2']","NULL_FINE","['location:2']"
"0","2/6","Fleure is a commune in <a>XXXX</a> in the Poitou-Charentes region in western France .","the Vienne department","","[]","['place:2', 'location:3']","[['city', 2]]","['place:2', 'location:3']"
"164","3/5","In August 2010 Caltex launched the E85 ethanol fuel called Bio E-Flex , designed for <a>XXXX</a> in the Holden Commodore VE Series II flex-fuel vehicles to be released later in 2010 .","use","","[]","['object:2']","NULL_FINE","['object:2']"
"0","4/8","Flinders University , -LRB- The Flinders University of <a>XXXX</a> -RRB- , is a public university in Adelaide , South Australia .","South Australia","","[]","['place:3']","[['city', 2], ['location', 3]]","['place:3']"
"15","0/6","During <a>XXXX</a> of 1906 , Lawrence auditioned for a number of Broadway productions , with no success .","the spring and summer","","[]","['event:2']","NULL_FINE","['event:2']"
"24","3/15","He was , subsequently , linked to <a>XXXX</a> of other clubs , notably English clubs Manchester United , Manchester City , and Arsenal and Italian clubs Napoli and Udinese with all the clubs reportedly likening him to former French international Laurent Blanc .","a host","","[]","['person:2', 'place:2']","[['club', 2]]","['person:2', 'place:2']"
"1","6/10","Floriano Peixoto was an Army Marshal when elected vice-president in 1891 and later rose to the Presidency following the resignation of Marshal Deodoro da Fonseca in November 1891 , first <a>XXXX</a> of Brazil following the end of the Monarchy in 1889 .","President","","[]","['person:4']","[['president', 4]]","['person:4']"
"0","4/9","The College of Education is an academic college of <a>XXXX</a> .","Florida Atlantic University located in Boca Raton , Florida , USA","","[]","NULL_GEN","NULL_FINE","[]"
"2","7/11","For the 1993 season the team was relocated to Miami and renamed the '' Hooters '' in an unusual marketing arrangement with the Florida-based restaurant chain which was ordinarily more noted for <a>XXXX</a> than feats of athletic prowess .","its buxom waitresses","","[]","NULL_GEN","[['waitress', 2]]","[]"
"0","3/11","Florida cracker architecture is a style of woodframe home used somewhat widely in the 19th century in <a>XXXX</a> and still popular with some developers as a source of design themes .","Florida , United States ,","","[]","['place:2', 'location:3']","[['city', 2]]","['place:2', 'location:3']"
"9","2/4","The hospital was originally the site of <a>XXXX</a> built in the 1830s and named after the nearby Apalachicola River .","the Apalachicola Arsenal","","[]","['place:2', 'location:2']","NULL_FINE","['place:2', 'location:2']"
"1","2/8","Locally known as Burgess Road and <a>XXXX</a> , SR 742 stays within a mile south of Interstate 10 -LRB- SR 8 -RRB- from the State Road 's western terminus at US 29-SR 95 near Ensley to SR 742 's eastern terminus at US 90 in Pensacola .","Creighton Boulevard","","[]","['place:3']","[['street', 2], ['road', 3]]","['place:3']"
"4","4/16","With the exception of the segment in <a>XXXX</a> , SR 908 passed through agricultural areas -LRB- primarily landscape nurseries , cornfields , tomato farms , and elephant ear fields -RRB- .","Goulds , a suburb of Miami","","[]","['location:3']","NULL_FINE","['location:3']"
"3","4/13","In a very successful effort to avoid bankruptcy , Nikkatsu , <a>XXXX</a> , had entered the pink film , or soft-core pornography , genre three years earlier , in 1971 , with its popular and critically praised Roman Porno series .","Japan 's oldest major film studio","","[]","['person:3']","NULL_FINE","['person:3']"
"4","4/6","Scott McKenzie 's rendition of the song '' San Francisco -LRB- Be Sure to Wear <a>XXXX</a> in Your Hair -RRB- '' was released in May 1967 .","Flowers","","[]","['object:4']","[['hairspray', 2]]","['object:4']"
"13","0/15","<a>XXXX</a> included Jackie Chan , Edison Chen , Leehom Wang , Ed Norton , Aaron Eckhart , Jamie-Lynn Sigler , Anoushka Shankar , Lee Jung Hyun , Donnie Yen , and Tom Arnold .","Celebrity guests of the show 's second season","","[]","NULL_GEN","[['movie', 2]]","[]"
"13","1/9","Over the years : <a>XXXX</a> , Craig Ferris , James Spithill , Jonathan Bonnitcha , Malcolm Page , Michael Coxon , Nathan Wilmot , Stephen McConaghy .","Adam Beashel","","[]","['person:3']","NULL_FINE","['person:3']"
"19","11/12","In 1876 Italian explorer , Luigi D'Albertis , was the first person to successfully attempt this when he travelled 900 & nbsp ; km into the interior of New Guinea , in his steamer , <a>XXXX</a> .","Neva","","[]","['object:4']","[['boat', 3]]","['object:4']"
"19","5/8","Their second single '' Condition of my Heart '' was written by American singer Brian McKnight ; in contrast to the first single , '' <a>XXXX</a> .","Condition '' was a heavier ballad","","[]","['object:2']","NULL_FINE","['object:2']"
"0","7/11","Functional Overlapping Competing Jurisdictions -LRB- FOCJ , also Functional , Overlapping and Competing Jurisdictions -RRB- is <a>XXXX</a> of panarchy advocated by Swiss economists Bruno Frey and Reiner Eichenberger .","a moderate form","","[]","NULL_GEN","[['jurisdiction', 2]]","[]"
"3","6/13","The next generation of composers working in this form include <a>XXXX</a> , Johann Philipp Fortsch , Sebastian Knupfer , Dietrich Buxtehude and early members of the Bach family .","Johann Schelle","","[]","['person:3']","[['composer', 2]]","['person:3']"
"12","8/11","He retreated to a mountain fortress called Pappua on the border of Numidia , where he soon found <a>XXXX</a> besieged by Byzantine forces under Pharas .","himself","","[]","NULL_GEN","NULL_FINE","[]"
"132","0/14","<a>XXXX</a> rejects the discourse of biological versus social determinism and advocates a deeper analysis of how interactions between the biological being and the social environment influence individuals ' capacities .","Biologist and feminist academic Anne Fausto-Sterling","","[]","['person:3']","NULL_FINE","['person:3']"
"10","5/6","In 1990 , Eugene joined the rock band The Swirling Eddies , where he was known as '' <a>XXXX</a> '' .","Prickly Disco","","[]","['person:3']","NULL_FINE","['person:3']"
"87","6/11","After the German attack on the Soviet Union in June 1941 , East Galicia , at that point part of <a>XXXX</a> , was incorporated into the General Government and became its fifth district , the Distrikt Galizien .","the Ukrainian SSR","","[]","['place:3']","NULL_FINE","['place:3']"
"8","4/5","The shape was reminiscent of the Ford Probe concept , and the Ultralite presaged the production General Motors EV1 <a>XXXX</a> .","electric vehicle and other production models","","[]","['object:2']","[['car', 2], ['vehicle', 2]]","['object:2']"
"14","5/7","A 2007 study conducted by the National Science Foundation found that genetic diversity and biodiversity are dependent upon each other-that diversity within a species is necessary to maintain <a>XXXX</a> among species , and vice versa .","diversity","","[]","NULL_GEN","[['balance', 2]]","[]"
"4","4/6","She studied electronic and electro-acoustic technology in New York with <a>XXXX</a> and visual artist William Etra .","Hubert Howe","","[]","['person:4']","[['artist', 2]]","['person:4']"
"22","1/14","After <a>XXXX</a> of People 's Republic of China , Geng was appointed as the ambassador to Sweden , and minister to Denmark and Finland on 9 May 1950 .","the formation","","[]","['person:3', 'event:2']","NULL_FINE","['person:3', 'event:2']"
"0","5/6","Genge music is a genre of hip hop music that had its beginnings in <a>XXXX</a> .","Nairobi , Kenya","","[]","NULL_GEN","[['year', 3]]","[]"
"2","6/10","Although the album had not been released in North America , over a hundred thousand copies of the single sold as imports from <a>XXXX</a> UK , at which point Sire Records made a deal to release the single and the album in North America in late 1981 .","Island Records 's","","[]","NULL_GEN","NULL_FINE","[]"
"174","7/11","The Aquarium of Genoa -LRB- in Acquario di Genova -RRB- is <a>XXXX</a> in Italy and the second largest in Europe .","the largest aquarium","","[]","NULL_GEN","NULL_FINE","[]"
"6","2/9","The species occupies an area of 20 & <a>XXXX</a> ; ha , the smallest of any Australian mainland vertebrate , across a range of 6.3 & nbsp ; km ² around Witchcliffe .","nbsp","","[]","NULL_GEN","[['area', 2]]","[]"
"19","3/5","He married Eileen Underwood , whom he had met when <a>XXXX</a> was serving with the ATS , in 1945 .","she","","[]","['person:4']","NULL_FINE","['person:4']"
"75","0/6","<a>XXXX</a> also helped promote the Daily Star funded UK Strongest Man tournaments until the turn of the millennium .","Capes","","[]","['person:4']","[['sponsor', 2]]","['person:4']"
"8","8/10","His work on international policy issues includes studies for CARE , the U.S. Fund for <a>XXXX</a> , and the United Nations Foundation .","UNICEF","","[]","NULL_GEN","NULL_FINE","[]"
"64","7/11","He made his debut on the opening Championship game of the season against Norwich at <a>XXXX</a> on 5 August 2006 , and scored his first goal in a 2-2 draw away at Queens Park Rangers three days later .","Elland Road","","[]","['place:3', 'location:2']","[['town', 3], ['city', 4]]","['place:3', 'location:2']"
"96","6/8","Vale were hammered 5-0 by Rotherham United in his first game in charge , but rallied to beat Burton Albion 2-1 , before <a>XXXX</a> was appointed manager .","Jim Gannon","","[]","['person:5']","[['manager', 4]]","['person:5']"
"158","3/4","In the winter of 1964 , Boycott was selected for the England team touring <a>XXXX</a> .","South Africa","","[]","['location:4']","[['state', 2]]","['location:4']"
"22","5/9","He also arranged a new overture for The Pirates of Penzance , but that did not remain in <a>XXXX</a> , and no copy of the score is known to have survived .","use","","[]","NULL_GEN","NULL_FINE","[]"
"3","5/6","He was called up for National Service in the Royal Navy , during which he felt a calling to become <a>XXXX</a> .","a minister","","[]","['person:2']","[['officer', 2]]","['person:2']"
"29","3/18","There are two dialects in Bulgaria which are considered <a>XXXX</a> by nationalists : the Malesevo-Pirin -LRB- widely spoken in most of Blagoevgrad Province in Bulgaria and Delcevo region in the Republic of Macedonia -RRB- and the Ser-Drama-Lagadin-Nevrokop ones .","Macedonian","","[]","NULL_GEN","NULL_FINE","[]"
"7","0/4","<a>XXXX</a> also partially controls the West Bank , 5879km2sqmi0us , East Jerusalem , 70km2sqmi0us and the Golan Heights , 1150km2sqmi0us .","Israel","","[]","['organization:2']","NULL_FINE","['organization:2']"
"34","8/10","The gravest environmental threat to Kazakhstan comes from radiation , especially in the Semey -LRB- Semipalatinsk -RRB- region of the northeast , where the Soviet Union tested almost 500 nuclear weapons , 116 of <a>XXXX</a> above ground .","them","","[]","['object:5']","[['weapon', 3]]","['object:5']"
"103","11/12","Willow Ptarmigan , Common Raven , and Blackpoll Warbler inhabit the forests of southern Labrador while Golden Eagles , Rough-legged Hawks and Peregrine Falcons nest on <a>XXXX</a> .","steep cliffs","","[]","['object:3']","[['mountain', 2], ['tree', 3], ['cliff', 2]]","['object:3']"
"35","8/11","Atlantic Ocean , chain islands in the North Atlantic Ocean , southeast of Florida , <a>XXXX</a> of Cuba and northwest of the Turks and Caicos Islands .","northeast","","[]","['direction:2', 'place:2']","NULL_FINE","['direction:2', 'place:2']"
"7","4/15","Average rainfall is high compared to the majority of the British Isles , due to <a>XXXX</a> to the western side of Great Britain and sufficient distance from Ireland for moisture to be accumulated by the prevailing south-westerly winds .","its location","","[]","['event:2']","NULL_FINE","['event:2']"
"132","6/17","The headwaters of three major rivers arise in the Anti-Taurus : <a>XXXX</a> , which pours into the Caspian Sea ; the south-flowing Euphrates ; and the south-flowing Tigris , which eventually joins the Euphrates in Iraq before emptying into the Persian Gulf .","the east-flowing Aras","","[]","['object:2']","[['river', 2]]","['object:2']"
"6","1/3","Since 1874 the Society has been based at <a>XXXX</a> , Piccadilly , London .","Burlington House","","[]","['place:2']","NULL_FINE","['place:2']"
"9","9/14","The Brecon Beacons -LRB- Bannau Brycheiniog -RRB- are in the south and are joined by the Cambrian Mountains in mid-Wales , the latter name being given to <a>XXXX</a> .","the earliest geological period of the Paleozoic era , the Cambrian","","[]","NULL_GEN","[['mountain', 3]]","[]"
"84","4/12","For example , Gary Glatzmaier and <a>XXXX</a> of UCLA have made a numerical model of the electromagnetic , fluid dynamical processes of Earth 's interior .","collaborator Paul Roberts","","[]","['person:4']","[['scientist', 4], ['geologist', 2]]","['person:4']"
"94","15/18","Two of the master geometers of the time were Bernhard Riemann , working primarily with tools from mathematical analysis , and introducing the Riemann surface , and Henri Poincare , the founder of algebraic topology and <a>XXXX</a> .","the geometric theory of dynamical systems","","[]","NULL_GEN","NULL_FINE","[]"
"2","0/8","<a>XXXX</a> then joined the band of an infantry regiment in Eger , with which he was later stationed -LRB- sequentially -RRB- in Vienna , Enns , Linz , and Branau .","He","","[]","['person:5']","[['soldier', 3]]","['person:5']"
"20","5/13","NBC 's post-game locker-room television coverage infamously captured Bears players singing '' Hooray for <a>XXXX</a> , Hooray at last ; Hooray for George , He 's a Horse 's ass ! ''","George","","[]","['person:2']","NULL_FINE","['person:2']"
"0","2/11","George Bain -LRB- 1881-1968 -RRB- , born in Scrabster in <a>XXXX</a> , was an art teacher who almost single-handedly revived interest in Celtic and Insular art .","the far north of Scotland","","[]","['location:2']","[['year', 2]]","['location:2']"
"0","8/11","George Bain -LRB- 1881-1968 -RRB- , born in Scrabster in the far north of Scotland , was an art teacher who almost single-handedly revived interest in <a>XXXX</a> .","Celtic and Insular art","","[]","NULL_GEN","NULL_FINE","[]"
"15","7/11","After twelve years at Acadia , in 1922 he moved to Hamilton , New York where <a>XXXX</a> had accepted the presidency of Colgate University .","he","","[]","['person:4']","[['president', 2]]","['person:4']"
"8","0/16","In 1568 <a>XXXX</a> was employed to escort Mary , Queen of Scots , from Carlisle to Bolton Castle , a duty he carried out courteously ; Mary in later years wrote to him as to a friend .","he","","[]","['person:5']","[['soldier', 2]]","['person:5']"
"3","1/7","In 1649 , his tutor Baldwin Ackland refused to take <a>XXXX</a> , and together they left the university and settled at North Cadbury in Somerset .","the engagement","","[]","NULL_GEN","NULL_FINE","[]"
"3","5/6","He played quarterback for the Georgia Bulldogs football team during the 1907 and 1908 seasons before taking a year off from school to travel around <a>XXXX</a> .","the United States and Mexico","","[]","['place:2', 'location:2']","NULL_FINE","['place:2', 'location:2']"
"1","1/7","Dance wrote <a>XXXX</a> , including The Gay Parisienne -LRB- 1894 -RRB- and A Chinese Honeymoon -LRB- 1899 -RRB- , one of the most successful musicals in history until the 1940s .","several hit musicals","","[]","['object:2']","[['story', 2]]","['object:2']"
