"Doc/Sen Id","Mention Id","Sentence","Mention","Head","AFET Labels","Turk-General","Turk-Fine","Predict"
"wex/20110513/46/84/239:22",0,"<a>XXXX</a> was also used in a number of products including the Acorn Computers Risc PC and Eidos Optima video editing system .","It","It","[]","['object']","['hardware', 'software']","['it']"
"wex/20110513/46/84/847:5",0,"According to the historians , <a>XXXX</a> , writing at a far later date , the earliest Roman army existed in the 8th century & nbsp ; BC .","Livy and Dionysius of Halicarnassus","Livy","[]","['person']","['historian', 'author']","['livy']"
"wex/20110513/46/85/322:46",1,"The murder in the Monk episode Mr. Monk and the Secret Santa is carried out through <a>XXXX</a> with strychnine .","a bottle of port poisoned","bottle","[]","['object']","['poison', 'chemical']","['bottle']"
"wex/20110513/46/85/408:125",3,"magazine and played the album on his radio show , Stryper suddenly found <a>XXXX</a> at the top of the metal heap in Japan with a record that was outselling Motley Crue , Bon Jovi , and every other metal band .","themselves","themselves","[]","['person']","['band', 'artist']","['themselves']"
"wex/20110513/46/85/427:0",2,"Strzala ' stszala is a village in the administrative district of Gmina Gidle , within <a>XXXX</a> .","Radomsko County , Lodz Voivodeship , in central Poland","County","[]","['location', 'object']","['county', 'region', 'country']","['county']"
"wex/20110513/46/85/590:1",0,"<a>XXXX</a> lies approximately 7kmmi0 north-east of Bedzino , 10kmmi0on north-west of Koszalin , and 134kmmi0on north-east of the regional capital Szczecin .","It","It","[]","['location', 'place']","['area', 'landmark', 'town', 'city']","['it']"
"wex/20110513/46/85/711:13",1,"The international crew , divided into Red and Blue teams , conducted experiments on <a>XXXX</a> on other life forms such as shrimp eggs , lentil seedlings , fruit fly eggs and bacteria .","the human nervous system 's adaptation to low gravity and the effects of microgravity","adaptation","[]","['object']","['animal']","['adaptation']"
"wex/20110513/46/85/861:4",1,"During the Crusades in the 12th century <a>XXXX</a> was renamed St Edmund and the Holy Sepulchre , in reference to the Church of the Holy Sepulchre in Jerusalem .","the church","church","[]","['person']","['saint']","['church']"
"wex/20110513/46/85/906:20",1,"Passing along <a>XXXX</a> , an estimated 50,000 gathered at the church to witness Bishop Kozlowski 's assumption of the bishop 's mitre .","Milwaukee 's streets , which had been lit with torches","streets","[]","['location', 'place']","['street']","['street']"
"wex/20110513/46/86/80:0",0,"<a>XXXX</a> is a school district headquartered in Covington , Louisiana , United States .","St. Tammany Parish Public Schools","Schools","[]","['place']","['district']","['schools']"
"wex/20110513/46/86/248:7",1,"While <a>XXXX</a> is considered to be the an episcopal church , it is t the same time deeply influenced by Evangelicalism .","STECI","STECI","[]","['organization']","['church']","['steci']"
"wex/20110513/46/86/458:6",1,"In eight years at Ayresome Park , Boam played nearly 400 games for Middlesbrough , and was rarely out of <a>XXXX</a> .","the side","side","[]","['thing']","['group']","['side']"
"wex/20110513/46/86/482:8",3,"<a>XXXX</a> has appeared in two other excellent drama documentaries for the BBC , Space Race directed by Christopher Spencer in which he played General Gaidukov and Nuremberg : Nazis on Trial directed by Michael Wadding in which he played Major Douglas Kelley .","Stuart","Stuart","[]","['person']","['artist', 'actor']","['stuart']"
"wex/20110513/46/86/561:10",3,"He adapted and devised <a>XXXX</a> to produce a wide variety of textures and filigree forms , and became well-known in London 's West End , producing a new collection each year .","new techniques","techniques","[]","['object']","['plan']","['technique']"
"wex/20110513/46/86/706:2",0,"<a>XXXX</a> has written three books in The Icemark Chronicles : The Cry of the Icemark , Blade of Fire and Last Battle of the Icemark .","He","He","[]","['person']","['author', 'book', 'writer']","['he']"
"wex/20110513/46/86/718:2",0,"He broke into <a>XXXX</a> whilst still a teenager and played alongside Frenchman Abdel Benazzi in the second row .","the Saracens team","team","[]","['object']","['team']","['team']"
"wex/20110513/46/86/859:1",0,"The town is in <a>XXXX</a> and on the Sunraysia Highway , 232kmmi north west of the state capital of Melbourne .","the Shire of Northern Grampians","Shire","[]","['place']","['state', 'region']","['shire']"
"wex/20110513/46/86/928:6",0,"He moved with his wife and two daughters to <a>XXXX</a> , where he rented a house in Goresbridge and worked in a convenience store in Graiguenamanagh .","County Kilkenny","Kilkenny","[]","['location']","['city', 'town', 'place']","['kilkenny']"
"wex/20110513/46/86/997:9",4,"The young family lived in a caravan in Warwickshire until Rose senior obtained a posting with the Imperial Civil Service in <a>XXXX</a> .","Tanganyika -LRB- now Tanzania -RRB-","Tanganyika","[]","['place']","['year', 'date']","['tanganyika']"
"wex/20110513/46/87/51:3",0,"In the individual competition , Stickney finished first in the qualification but was eliminated in <a>XXXX</a> .","the second round of the match play","round","[]","['event']","['date']","['round']"
"wex/20110513/46/87/103:35",4,"In 1981 Stuart toured as the Narrator in <a>XXXX</a> starring Daniel Abineri and repeated that with a second tour a few years later , which also featured Russell Crowe .","the highly successful Rocky Horror Show","Show","[]","['object']","['play', 'musical']","['show']"
"wex/20110513/46/87/301:3",0,"The song appears on <a>XXXX</a> and was re-recorded for their UK debut album : Trinity .","their international debut album , Identity Crisis ,","album","[]","['object', 'music']","['record', 'album']","['album']"
"wex/20110513/46/87/487:24",3,"Following a sustained campaign by NUS Scotland , CHESS , the Scottish Young Greens , Scottish Socialist Youth and the Federation of Student Nationalists , <a>XXXX</a> announced plans to scrap the graduate endowment for all current and future students in June 2007 .","the Scottish Government","Government","['/government', '/government/government']","['person']","['university']","['government']"
"wex/20110513/46/87/997:3",1,"<a>XXXX</a> first became interested in anime and manga after being introduced to it by James D. Hudnall in 1982 .","Smith","Smith","[]","['person']","['artist']","['smith']"
"wex/20110513/46/88/153:2",1,"Headquartered in Stoneham , Massachusetts , StudyPoint employs 650 tutors and operates in 23 metropolitan areas , including <a>XXXX</a> .","New York , Chicago , Washington , DC , Philadelphia , San Francisco , and Los Angeles","Francisco","[]","['location']","['city']","['francisco']"
"wex/20110513/0/0/398:8",0,"<a>XXXX</a> Catch Me If You Can '' is used in a Network Ten advertisement promoting its new international show , Lie to Me .","The album track ''","track","[]","['music', 'object']","['movie']","['track']"
"wex/20110513/0/1/178:6",0,"<a>XXXX</a> lies on the 25th meridian west from Washington , which lies a couple of miles west of the 102nd meridian west .","The eastern border of Colorado with Nebraska and Kansas","border","[]","['location', 'place']","['city']","['border']"
"wex/20110513/0/7/210:5",2,"Its baptism of fire occurred at the Second Battle of Ypres in April , 1915 , when the German Army used <a>XXXX</a> for the first time in war .","chlorine gas","gas","[]","['object']","['weapon']","['gas']"
"wex/20110513/0/7/952:19",2,"May - Wars of the Roses : At the Battle of Hexham , <a>XXXX</a> defeats the Lancastrian army .","Neville","Neville","[]","['person']","['general']","['neville']"
"wex/20110513/0/9/562:3",0,"Herrick had studied <a>XXXX</a> , and requested the name , along with that of 1685 Toro .","the asteroid 's orbit","orbit","[]","['education']","['subject', 'degree']","['orbit']"
"wex/20110513/0/10/93:11",3,"It did not achieve its overall objective but forced the Germans to abandon <a>XXXX</a> and tied most of their armoured units to a defensive role .","their offensive plans","plans","[]","['location']","['city']","['plan']"
"wex/20110513/0/11/72:14",5,"In the 1720s , Dhaher al-Omar a Bedouin , fortified the town of TIberias and signed an agreement with <a>XXXX</a> to prevent looting .","the neighboring Bedouin tribes","tribes","[]","['person']","['leader']","['tribe']"
"wex/20110513/0/14/229:4",2,"<a>XXXX</a> - Siege of Genoa began , with the Austrians besieging the French garrison .","April","April","[]","['time']","['year', 'date']","['april']"
"wex/20110513/0/17/951:3",3,"Newton Heath lost to Blackburn Rovers in their opening match in <a>XXXX</a> this season .","the FA Cup","Cup","['/event']","['location', 'place']","['city', 'region']","['cup']"
"wex/20110513/0/18/426:95",2,"Three Germans added individual titles : Hermann Weingartner won <a>XXXX</a> , Alfred Flatow won the parallel bars ; and Carl Schuhmann , who also competed successfully in wrestling , won the vault .","the horizontal bar event","event","[]","['event']","['award', 'sport']","['event']"
"wex/20110513/0/21/36:9",2,"June - <a>XXXX</a> persuades Ferguson to hold Australia 's first double dissolution election after the Government Preference Bill prohibiting preference to unionists in Australian Government employment was twice rejected by the Senate of Australia .","Joseph Cook","Cook","[]","['person']","['politician']","['cook']"
"wex/20110513/0/22/317:38",0,"November General election , the first following the partition of Ireland , won by the Conservative Party under <a>XXXX</a> .","Bonar Law","Law","[]","['person']","['president', 'leader', 'politician']","['law']"
"wex/20110513/0/23/325:1",0,"The game was played at <a>XXXX</a> and was contested by the FA Cup holders Cardiff City and amateur side Corinthian .","Stamford Bridge , home of Chelsea ,","Bridge","[]","['location', 'object']","['city']","['bridge']"
"wex/20110513/0/23/386:0",1,"The 1927 KLM Fokker F. VIII crash happened on 22 August 1927 when Fokker F. VIII H-NADU of KLM crashed at <a>XXXX</a> .","Sevenoaks , Kent following structural failure of the tailfin or rudder","Kent","[]","['place']","['area']","['kent']"
"wex/20110513/0/23/386:1",1,"<a>XXXX</a> was operating an international scheduled flight from Croydon , Surrey to Waalhaven Airport , Rotterdam , Netherlands .","The aircraft","aircraft","[]","['person']","['airline', 'pilot']","['aircraft']"
"wex/20110513/0/26/192:33",1,"In Buckner Bay , 30-35 waves were reported to have crashed ashore , tearing into <a>XXXX</a> .","the Quonset huts and other building","huts","[]","['object']","['shoreline', 'beach']","['hut']"
"wex/20110513/0/28/960:0",0,"The 1951 Men 's European Volleyball Championship , the third edition of the event , was organized by <a>XXXX</a> .","Europe 's governing volleyball body , the Confederation Europeenne de Volleyball","body","[]","['person', 'organization']","['sport']","['body']"
"wex/20110513/0/31/166:7",0,"July - Luxembourg signs <a>XXXX</a> on the construction of a pumping station near Vianden .","a convention with the German state of Rhineland-Palatinate","convention","[]","['object']","['agreement']","['convention']"
"wex/20110513/0/31/408:43",2,"<a>XXXX</a> became a tropical storm the next day , and hit near Pensacola , Florida on October 8 as a 60 & nbsp ; mph tropical storm .","It","It","[]","['weather']","['hurricane', 'storm']","['it']"
"wex/20110513/0/31/626:5",1,"<a>XXXX</a> won both the figures and the free skating portions of the men 's competition , although he was closely pressed by Tim Brown in the first three figures .","David Jenkins","Jenkins","[]","['person']","['player', 'skater', 'athlete']","['jenkins']"
"wex/20110513/0/33/527:4",2,"The finals were held in Israel from May 26 to June 9 , 1964 and <a>XXXX</a> won the title with a perfect record of three wins , defeating the teams of South Korea , Hong Kong and India .","the Israeli national football team","team","[]","['person']","['player', 'japan', 'china']","['team']"
"wex/20110513/0/36/337:6",3,"Arthur Ashe / <a>XXXX</a> won a round robin competition against the teams of CSK Jan Kodes / AUS Rod Laver and SFR Yugoslavia Zeljko Franulovic / AUS Ken Rosewall .","USA Stan Smith","Smith","['/person/athlete', '/person']","['person']","['player', 'athlete']","['smith']"
"wex/20110513/0/37/398:18",0,"Had Aussie winger Ray Branighan succeeded with a 79th minute penalty or Bob Fulton landed one of three drop goal attempts in the last five minutes , <a>XXXX</a> could so easily have gone to Australia .","the cup","cup","[]","['person']","['team']","['cup']"
"wex/20110513/0/38/99:103",1,"On March 28 the Colonels won on the road 110-88 against the Virginia Squires ; 5,703 attended in <a>XXXX</a> as Artis Gilmore put in 28 .","Norfolk","Norfolk","['/location/county', '/location/city', '/location']","['location']","['stadium', 'city']","['norfolk']"
"wex/20110513/0/38/954:27",0,"May - Leeds United are beaten 2-0 by <a>XXXX</a> in Paris , France .","Bayern Munich of West Germany in the European Cup final","Munich","[]","['group']","['team']","['munich']"
"wex/20110513/0/41/939:1",2,"The game took <a>XXXX</a> on October 6 , 1980 between the Houston Astros and the Los Angeles Dodgers at Dodgers Stadium .","place","place","[]","['event']","['player', 'place']","['place']"
"wex/20110513/0/42/536:138",5,"<a>XXXX</a> - The Queen opens the final phase of the Telford Shopping Centre , nearly a decade after development began on the first phase of what is now one of the largest indoor shopping centres in Europe in the Shropshire new town .","November","November","[]","['place']","['year']","['november']"
"wex/20110513/0/43/156:24",2,"Harvey Kuenn replaces <a>XXXX</a> and will guide the Brewers to victory in 20 of their next 27 games , the Brewers taking over first place on July 11 .","him","him","[]","['person']","['coach', 'athlete']","['him']"
"wex/20110513/0/43/555:31",0,"He took <a>XXXX</a> , but failed to re-sign Bob Newton .","Millwall 's Andy Massey on loan","Massey","[]","['person', 'object']","['player', 'athlete']","['massey']"
"wex/20110513/0/44/725:78",0,"On February 10 , 1983 , Detroit a second-round pick and a 1985 third-round pick from <a>XXXX</a> .","San Antonio in exchange for Edgar Jones","Antonio","[]","['place', 'organization']","['area', 'city', 'team']","['antonio']"
"wex/20110513/0/46/834:11",4,"Newman Haas Racing joined <a>XXXX</a> , and Mario Andretti scored the engine 's first victory a month earlier at Long Beach .","the Ilmor Chevrolet program","program","[]","['group']","['team', 'team_sport', 'league']","['program']"
"wex/20110513/0/46/992:3",0,"At <a>XXXX</a> , Thurman Thomas had 897 rushes for 4,595 yards , 43 touchdowns , and 21 100-yard rushing games .","Oklahoma State","State","[]","['event']","['stadium']","['state']"
"wex/20110513/0/47/137:47",2,"The album 's opening song , '' Hey Hey We Are Not The Monkees '' , begins with <a>XXXX</a> .","simulated human sexual intercourse noises arranged as a rhythm","noises","[]","['object']","['music']","['noise']"
"wex/20110513/0/47/259:67",3,"In doing so , <a>XXXX</a> became the only team to ever defeat the Canadiens on Montreal Forum ice to win the championship .","they","they","[]","['group']","['group', 'team']","['they']"
"wex/20110513/0/49/717:3",1,"January - Controversial judge James Pickles sentences 19-year-old Huddersfield supermarket cashier Tracey Scott , who has a 10-week-old baby , to six months in prison after she admitted helping <a>XXXX</a> .","shoplifters","shoplifters","[]","['person', 'object']","['criminal']","['shoplifter']"
"wex/20110513/0/54/454:1",2,"<a>XXXX</a> fihished the International League regular season with a record of 71 wins and 68 losses .","The Clippers","Clippers","[]","['person']","['player', 'athlete']","['clippers']"
"wex/20110513/0/58/858:0",0,"The 1998 Kansas City Chiefs season began with <a>XXXX</a> avenging its loss in the 1998 playoffs to the eventual Super Bowl champion Denver Broncos , but instead the Chiefs failed to succeed in the highly competitive AFC West .","high hopes of the team","hopes","[]","['event', 'organization']","['team']","['hope']"
"wex/20110513/0/58/964:16",0,"<a>XXXX</a> drove in the lone Chicago run in the top of the sixth on a groundout .","Lance Johnson","Johnson","['/person/athlete', '/person']","['person']","['baseball', 'athlete', 'driver']","['johnson']"
"wex/20110513/0/59/28:24",0,"<a>XXXX</a> was about 650 & nbsp ; miles -LRB- 1050 & nbsp ; km -RRB- south-southeast of Cabo San Lucas when it became a tropical storm .","Agatha","Agatha","[]","['place']","['hurricane']","['agatha']"
"wex/20110513/0/59/881:7",1,"The race had a 13-car pileup on lap 135 , causing <a>XXXX</a> to flip twice .","eventual series champion Dale Jarrett","Jarrett","[]","['person']","['racer']","['jarrett']"
"wex/20110513/0/61/633:20",0,"After <a>XXXX</a> , the Battalion arrived at their new duty station , Fort Mason , near the settlement of Calabazas on the border in August , 1865 .","a grueling march across the Mojave and Sonoran Deserts","march","[]","['event']","['battle']","['march']"
"wex/20110513/0/62/931:46",3,"In the aftermath of the match Gillingham offered a new contract to <a>XXXX</a> , but two weeks after leading the club to victory at Wembley he left to take over as manager of Premier League team Leicester City .","manager Peter Taylor","Taylor","[]","['person']","['athlete']","['taylor']"
"wex/20110513/0/63/412:15",0,"<a>XXXX</a> included the Madrid Train Bombings in 2004 , 7/7 London Bombings in 2005 , and the Mumbai attacks related to al-Qaeda in 2008 .","These acts","acts","[]","['event']","['terrorism', 'attack']","['act']"
"wex/20110513/0/63/412:193",1,"<a>XXXX</a> was assassinated by the environmentalist activist Volkert van der Graaf on May 6 , 2002 .","Dutch politician Pim Fortuyn","Fortuyn","[]","['person']","['leader', 'politician']","['fortuyn']"
"wex/20110513/0/63/502:1",0,"<a>XXXX</a> was the 5th edition of the Stuttgart Masters -LRB- previously known as the Eurocard Open -RRB- , and was part of the ATP Masters Series of the 2000 ATP Tour .","It","It","[]","['event']","['golf', 'competition', 'tournament']","['it']"
"wex/20110513/0/63/504:16",0,"<a>XXXX</a> entered the National Football League after graduation , being selected either in the 2000 NFL Draft or later editions of that selection process .","Several players from each team","players","[]","['person']","['player', 'athlete']","['player']"
"wex/20110513/0/66/679:1",1,"<a>XXXX</a> was the 26th edition of the Indian Wells Masters and was part of the Tennis Masters Series of the 2002 ATP Tour and of Tier I of the 2002 WTA Tour .","It","It","[]","['event']","['tournament']","['it']"
"wex/20110513/0/69/811:0",0,"The 2004 If <a>XXXX</a> was an ATP tennis tournament played on hard courts and held in Stockholm , Sweden .","Stockholm Open","Open","[]","['event']","['game', 'match', 'tournament']","['open']"
"wex/20110513/0/70/351:2",0,"<a>XXXX</a> occurred on the night of October 7 , against the Hilton Taba and campsites used by Israelis in Ras al-Shitan .","The explosions","explosions","[]","['event']","['attack', 'disaster']","['explosion']"
"wex/20110513/0/70/900:74",2,"<a>XXXX</a> raided conference foe Brown to hire Miller away after Dunphy moved across town to coach Temple .","Penn","Penn","[]","['person']","['leader']","['penn']"
"wex/20110513/0/71/186:126",0,"<a>XXXX</a> became the final storm of the season when it formed on December 30 , six hours short of tying the record of Hurricane Alice of 1954 as the latest-forming named storm in a season .","Tropical Storm Zeta","Zeta","['/event/natural_disaster', '/event']","['event']","['hurricane', 'storm']","['zeta']"
"wex/20110513/0/71/462:22",0,"The experienced fast bowler Jason Lewry took six for 77 for Sussex , while <a>XXXX</a> scored a duck in his first innings .","the Welsh team 's new import , Indian captain Sourav Ganguly ,","import","[]","['person']","['player']","['import']"
"wex/20110513/0/71/467:275",0,"Croft took two wickets with <a>XXXX</a> , but Craig Spearman 's 39 built the platform as Gloucestershire Steelbacks eased to victory with 17 balls to spare .","his off-spin","off-spin","[]","['person']","['number', 'cricketer']","['off-spin']"
"wex/20110513/0/71/470:201",2,"-LRB- Cricinfo scorecard -RRB- After a first day where Glamorgan had racked up 380 runs , Michael Powell top-scoring with 111 and <a>XXXX</a> making 77 while Syed Rasel took four for 89 , the touring Bangladesh A side were sent in to bat .","Alex Wharf","Wharf","[]","['person']","['player', 'athlete']","['wharf']"
"wex/20110513/0/72/999:14",0,"Three pairs later , Koskela bettered that time , beating <a>XXXX</a> on the final stretch to finish 0.05 seconds ahead of his pairmate and 0.07 seconds ahead of Fredricks .","Lee Kang-Seok of Korea","Kang-Seok","[]","['person']","['competitor', 'athlete']","['kang-seok']"
"wex/20110513/0/73/569:4",2,"The Liberal Party and New Democratic Party indicated that they would not support the budget , while <a>XXXX</a> indicated that it would vote in favour of it .","the Bloc Quebecois","Quebecois","['/government', '/organization', '/government/political_party']","['person']","['political_party', 'politician']","['quebecois']"
"wex/20110513/0/73/614:13",1,"However , Jerry Angelo and Lovie Smith surprised <a>XXXX</a> by trading away the Bears ' first round draft pick , and drafting five defensive players .","the media","media","[]","['person']","['analyst']","['media']"
"wex/20110513/0/73/631:160",0,"Afterwards , <a>XXXX</a> got a 7-yard TD run and QB Carson Palmer completed a 51-yard TD to WR Chad Johnson .","RB Rudi Johnson","Johnson","[]","['person']","['athlete', 'football_player']","['johnson']"
"wex/20110513/0/73/645:32",4,"Alan Didak wins the Copeland Trophy from James Clement and Ben Johnson , coming sooner than 24 hours after <a>XXXX</a> was involved in an incident with a taxi driver .","he","he","[]","['person']","['athlete']","['he']"
"wex/20110513/0/73/930:3",0,"The quarter-final match-ups were determined by <a>XXXX</a> , while the UEFA and CONMEBOL champions were given byes to the semi-finals .","a draw including the AFC , CAF , CONCACAF and OFC champions","draw","[]","['event']","['draw']","['draw']"
"wex/20110513/0/74/810:2",1,"The 2006 PIHA All-Star Classic was hosted by <a>XXXX</a> at the Sportsplex in Feasterville , PA .","the Philadelphia Growl","Growl","[]","['person', 'organization']","['team']","['growl']"
"wex/20110513/0/75/750:108",0,"<a>XXXX</a> won both Games 3 and 4 to even up the series with Deron Williams and Carlos Boozer , who bounced back after having two terrible games at L.A. , leading the team .","The Jazz","Jazz","[]","['person']","['basketball_player', 'sportsman', 'athlete', 'sport']","['jazz']"
"wex/20110513/0/75/904:5",3,"On a day of frenzied transfer activity , <a>XXXX</a> captured Martin Paterson from Stoke City , with the fee again to be decided by tribunal , and Jonathan Forte from Sheffield United .","Adkins","Adkins","[]","['person', 'object']","['police']","['adkins']"
"wex/20110513/0/76/263:18",0,"On March 8 , the Falcons signed wide receiver Joe Horn , formerly with the New Orleans Saints , to <a>XXXX</a> .","a contract","contract","[]","['object']","['team']","['contract']"
"wex/20110513/0/77/22:7",0,"'' I am so excited about coming back , '' the 37-year-old quarterback said on <a>XXXX</a> in Biloxi , Mississippi .","the website of The Sun Herald","website","[]","['time']","['day', 'interview']","['website']"
"wex/20110513/0/77/862:139",0,"<a>XXXX</a> were invited to the NFL Scouting Combine , held February 20-26 in Indianapolis , IN : Dan Connor , Justin King , and Anthony Morelli .","Three players","players","[]","['person', 'group']","['group', 'team']","['player']"
"wex/20110513/0/78/850:5",2,"<a>XXXX</a> released 13 players at the end of the season , and also lost his captain , David Wetherall , who decided to retire , and Luke Medley , who turned down a new contract in favour of a return to his home in London .","McCall","McCall","[]","['object']","['team']","['mccall']"
"wex/20110513/0/79/599:1",1,"However , because of the flooding in Iowa at the time , <a>XXXX</a> was re-scheduled from June 13th , to July 18th as part of the ASA Midwest Tour '' Western Swing , '' also including the stop at Iowa Speedway on July 20th .","the race","race","[]","['event']","['festival', 'concert']","['race']"
"wex/20110513/0/80/53:30",5,"In <a>XXXX</a> , it was announced that RBK would release vintage jerseys for each team , beginning with the Toronto Argonauts and Winnipeg Blue Bombers .","an effort to expand the CFL merchandise line","effort","[]","['event', 'time']","['month', 'year']","['effort']"
"wex/20110513/0/80/360:0",0,"<a>XXXX</a> was the defending champion , but chose not to participate that year .","Novak Djokovic","Djokovic","['/person/actor', '/person/athlete', '/person']","['person']","['champion', 'athlete']","['djokovic']"
"wex/20110513/0/80/434:1",0,"The final was played at <a>XXXX</a> on 11 March 2008 and marked the second time the final has been staged at the stadium .","Newport Stadium in Newport","Stadium","[]","['location', 'place']","['stadium']","['stadium']"
"wex/20110513/0/82/281:37",1,"It turned out to be a disastrous race for the Ford Performance Racing team , with Steven Richards also involved in an accident , resulting in a bent steering arm and subsequent retirement from <a>XXXX</a> .","the race","race","[]","['event']","['racing', 'sport']","['race']"
"wex/20110513/0/83/386:8",0,"Note 5 : Played in Tallinn at A. Le Coq Arena as Narva Trans 's Kreenholmi Staadion did not meet <a>XXXX</a> .","UEFA criteria","criteria","[]","['person']","['player', 'athlete']","['criterion']"
"wex/20110513/0/85/799:4",5,"Season 2009 also saw coach Brian Smith sacked after announcing on July 19 that he had signed a four year deal with the Sydney Roosters , and subsequently the team faltered as <a>XXXX</a> lost three consecutive games until Newcastle officials dismissed Smith and appointed assistant coach Rick Stone .","they","they","[]","['object']","['team']","['they']"
"wex/20110513/0/86/166:1",0,"<a>XXXX</a> consisted of 23 special stages and was won by Ford 's Mikko Hirvonen .","The rally","rally","[]","['event', 'object']","['sport']","['rally']"
"wex/20110513/0/86/426:1",0,"<a>XXXX</a> competed in the NRL 's 2009 Telstra Premiership , and despite being in 1st position at some points during the year and scoring over 500 points in a season for the first time , they finished 10th -LRB- of 16 -RRB- so failed to reach the play-offs .","They","They","[]","['person']","['sportsman', 'team']","['they']"
"wex/20110513/0/88/950:6",1,"Monfils was playing in his second successive Paris Masters final having saved five match points in defeating <a>XXXX</a> .","Roger Federer in the semifinals","Federer","[]","['person']","['athlete']","['federer']"
"wex/20110513/0/89/257:4",4,"South Australia hosted the New South Wales Patriots at Norwood Oval , Adelaide for the semi-final series , while <a>XXXX</a> hosted the championship series at La Trobe University , Melbourne .","the Victoria Aces","Aces","[]","['location']","['city', 'region']","['aces']"
"wex/20110513/0/90/590:23",6,"On lap 40 , Kahne led the field to the green flag ; on the same lap Carl Edwards was clipped by Brad Keselowski and ran up <a>XXXX</a> .","the track to hit Joey Logano which brought out the third caution of the day","track","[]","['location']","['track']","['track']"
"wex/20110513/0/91/800:76",5,"<a>XXXX</a> was removed from that day 's game with soreness in his shoulder and reported as day-to-day , so outfielder Matt Joyce was called up to take the open spot on the roster .","Left fielder Carl Crawford","Crawford","[]","['person']","['player', 'athlete']","['crawford']"
"wex/20110513/0/91/853:146",1,"After two blown saves in the first week of the season , <a>XXXX</a> was replaced as the closer by Neftali Feliz .","Frank Francisco","Francisco","[]","['person']","['player']","['francisco']"
"wex/20110513/0/92/66:13",1,"Following the election and resulting <a>XXXX</a> , he made an agreement with the Conservative Party to form a coalition government .","hung parliament","parliament","[]","['event']","['outcome', 'election']","['parliament']"
"wex/20110513/0/92/66:13",2,"Following the election and resulting hung parliament , he made <a>XXXX</a> with the Conservative Party to form a coalition government .","an agreement","agreement","[]","['event']","['peace']","['agreement']"
"wex/20110513/0/94/554:6",5,"Two goals by Stokes and one from Niall McGinn gave <a>XXXX</a> a comfortable 3-0 lead , but the Saints later came back into the game after goals from Sam Parkin and Murray Davidson .","The Bhoys","Bhoys","[]","['group']","['group', 'team']","['bhoys']"
